flesch_reading_ease*flesch_kincaid_grade*smog_index*gunning_fog*coleman_liau_index*automated_readability_index*dale_chall_readability_score*linsear_write_formula*spache_readability*mcalpine_eflaw*reading_time*syllable_count*monosyllab_count*polysyllab_count*word_count*miniword_count*difficult_words*school_grade*complexity
68.06*6.7*10.5*8.11*10.19*8.2*10.53*7.0*3.96*15.7*2.6*52*23*5*35*12*6*10th and 11th grade*simple
37.3*12.3*0.0*13.86*20.65*18.9*10.98*12.0*5.26*20.0*1.69*31*8*3*17*3*4*11th and 12th grade*simple
36.96*10.3*0.0*12.49*10.58*8.2*12.86*7.5*4.97*12.0*0.71*17*5*3*9*3*3*10th and 11th grade*simple
55.74*9.3*0.0*8.78*12.93*11.8*8.99*13.0*4.69*20.5*2.47*51*19*8*31*10*6*8th and 9th grade*simple
60.31*7.6*0.0*11.67*11.58*8.9*9.92*7.0*3.95*14.0*0.85*18*6*2*11*3*2*11th and 12th grade*simple
86.71*3.7*0.0*6.0*5.6*3.8*9.66*5.0*3.97*15.5*1.26*25*16*1*20*11*4*5th and 6th grade*simple
80.28*4.1*0.0*3.2*2.1*0.8*0.4*3.5*1.97*12.0*0.46*11*5*0*8*4*0*3rd and 4th grade*simple
34.26*13.5*0.0*18.0*14.04*14.5*10.94*17.0*6.24*25.0*1.62*36*11*6*20*5*6*13th and 14th grade*simple
62.68*8.7*0.0*9.15*9.39*9.5*10.98*10.5*6.27*26.0*1.19*25*10*1*17*9*6*8th and 9th grade*simple
73.54*4.6*8.8*4.63*5.1*4.1*10.6*3.666666666666667*3.09*9.7*1.32*28*13*3*19*10*3*4th and 5th grade*simple
77.57*7.2*0.0*11.81*7.78*8.7*10.4*12.0*5.33*27.0*1.22*25*15*2*19*8*4*11th and 12th grade*simple
80.62*6.0*0.0*8.9*6.38*8.7*8.38*11.5*4.17*23.0*1.1*20*13*1*16*7*2*8th and 9th grade*simple
71.48*9.5*0.0*11.6*8.07*11.8*8.67*14.5*5.74*35.0*1.62*32*20*1*25*10*4*11th and 12th grade*simple
100.24*0.5*0.0*2.0*2.64*1.8*7.04*2.0*1.54*7.0*0.32*6*4*0*5*2*0*1st and 2nd grade*simple
72.16*7.2*0.0*8.9*8.18*8.0*8.38*11.0*4.17*22.0*1.07*23*11*2*16*6*2*7th and 8th grade*simple
93.14*3.3*0.0*4.8*2.13*1.4*6.86*5.5*3.96*20.0*0.63*14*10*0*12*8*2*4th and 5th grade*simple
46.44*8.8*0.0*8.2*10.8*7.9*11.93*4.5*5.19*10.0*0.63*14*3*1*8*2*3*8th and 9th grade*simple
73.85*4.5*0.0*2.4*11.07*8.3*14.46*2.5*5.99*8.0*0.5*9*3*0*6*2*3*2nd and 3rd grade*simple
63.7*8.4*0.0*11.4*11.42*10.4*13.31*10.5*4.71*20.0*1.19*24*13*2*16*4*3*10th and 11th grade*simple
49.15*11.9*0.0*14.25*9.63*11.8*9.75*16.0*6.29*33.0*1.53*35*14*4*22*11*6*11th and 12th grade*simple
45.76*11.1*0.0*11.51*14.15*13.4*12.84*11.5*7.28*24.0*1.4*29*8*2*17*7*8*11th and 12th grade*simple
27.49*11.9*0.0*12.0*15.46*11.8*15.19*6.5*7.41*12.0*0.88*20*3*2*10*2*6*11th and 12th grade*simple
87.55*5.4*0.0*7.0*5.97*7.2*9.02*9.0*4.04*25.5*2.17*43*27*0*35*16*3*5th and 6th grade*simple
60.65*9.5*0.0*13.92*13.87*13.8*12.89*13.0*5.78*26.0*1.53*29*13*3*19*7*5*13th and 14th grade*simple
24.45*19.3*0.0*22.57*15.97*25.0*12.17*28.5*8.91*50.0*3.25*65*21*7*38*12*12*12th and 13th grade*simple
72.66*7.0*0.0*7.49*8.99*9.6*10.01*9.0*4.41*20.5*2.25*42*22*1*31*10*5*6th and 7th grade*simple
117.16*-1.9*0.0*2.0*-3.17*-3.0*10.2*2.0*1.54*9.0*0.25*5*5*0*5*4*0*1st and 2nd grade*simple
71.14*7.6*0.0*9.15*8.7*8.7*9.12*11.0*4.75*23.5*2.29*49*23*4*34*13*6*8th and 9th grade*simple
38.32*11.9*0.0*11.4*12.87*11.9*13.31*10.5*6.32*25.0*1.26*28*10*2*16*9*6*11th and 12th grade*simple
64.04*10.3*0.0*11.27*9.12*12.0*9.43*13.5*6.01*34.0*1.6*34*15*1*24*10*5*9th and 10th grade*simple
60.31*7.6*0.0*9.85*16.05*13.2*11.36*7.75*4.74*16.0*2.0*36*14*5*22*10*6*7th and 8th grade*simple
64.71*8.0*0.0*11.33*12.69*11.5*9.64*9.0*5.25*20.0*1.19*23*9*2*15*5*4*7th and 8th grade*simple
42.38*10.3*0.0*11.47*11.82*10.1*10.81*8.5*6.11*18.0*0.95*21*7*2*12*6*5*10th and 11th grade*simple
84.68*4.4*0.0*8.13*8.4*6.6*9.5*6.5*3.25*15.0*0.82*15*10*1*12*3*1*6th and 7th grade*simple
69.45*10.3*0.0*12.28*8.36*13.2*11.99*15.5*6.24*39.0*1.78*35*20*1*27*12*5*11th and 12th grade*simple
66.4*5.2*0.0*10.0*10.76*10.3*10.2*3.5*3.26*7.0*0.46*8*3*1*5*2*1*10th and 11th grade*simple
50.5*7.2*0.0*11.6*4.35*4.1*11.73*2.5*3.55*7.0*0.29*7*3*1*4*3*1*11th and 12th grade*simple
78.25*4.8*0.0*4.0*10.24*7.6*13.61*4.5*5.69*14.0*0.75*14*6*0*10*4*4*4th and 5th grade*simple
82.65*5.2*0.0*7.03*5.97*5.9*7.71*8.0*4.04*19.0*1.78*36*21*1*28*10*4*5th and 6th grade*simple
88.74*2.9*0.0*5.7*7.55*5.2*8.97*4.0*3.04*10.5*1.13*21*12*1*16*5*2*5th and 6th grade*simple
94.15*2.9*0.0*4.4*2.65*1.6*5.62*5.0*3.17*16.0*0.6*13*9*0*11*5*1*2nd and 3rd grade*simple
32.9*11.9*0.0*14.43*15.76*13.0*11.57*9.0*6.64*19.0*1.13*25*6*3*13*6*6*11th and 12th grade*simple
42.38*10.3*0.0*8.13*15.18*12.0*10.81*8.5*4.68*16.0*1.03*21*6*3*12*4*3*10th and 11th grade*simple
65.05*9.9*0.0*10.94*9.52*13.0*13.02*15.5*6.33*33.0*1.65*33*14*1*23*10*6*9th and 10th grade*simple
88.06*5.2*0.0*9.15*11.77*11.8*12.84*9.0*3.74*22.0*1.31*21*14*1*17*5*1*11th and 12th grade*simple
58.28*8.4*0.0*8.28*13.04*10.8*11.57*8.0*4.66*16.0*1.04*21*7*2*13*3*3*7th and 8th grade*simple
65.39*5.6*0.0*2.4*9.62*7.1*11.83*2.5*5.27*8.0*0.95*19*5*0*12*4*5*2nd and 3rd grade*simple
39.0*15.8*0.0*15.3*14.11*20.8*12.63*23.0*8.31*40.0*2.61*51*17*4*32*8*11*15th and 16th grade*simple
62.34*6.8*0.0*8.04*8.67*6.1*11.1*5.0*4.97*13.0*0.65*14*6*1*9*4*3*8th and 9th grade*simple
81.97*7.5*0.0*9.2*4.94*8.5*9.58*12.5*5.2*36.0*1.32*28*18*0*23*13*3*8th and 9th grade*simple
65.05*9.9*0.0*9.2*8.25*11.2*9.58*14.0*4.83*33.0*1.51*32*15*1*23*10*2*9th and 10th grade*simple
43.39*9.9*0.0*15.31*12.62*9.7*9.92*8.0*5.52*16.0*0.88*20*6*3*11*5*4*9th and 10th grade*simple
59.64*9.9*0.0*14.0*7.37*9.3*9.37*14.5*5.38*30.0*1.29*29*14*3*20*10*4*9th and 10th grade*simple
49.82*9.5*0.0*14.43*10.83*9.0*10.35*9.0*5.32*17.0*0.97*22*7*3*13*4*4*10th and 11th grade*simple
98.55*3.2*0.0*6.0*-0.08*0.8*5.43*7.0*3.53*25.0*0.69*17*13*0*15*10*1*-1th and 0th grade*simple
58.29*14.6*0.0*17.31*8.66*18.5*11.34*22.0*7.55*54.0*2.48*49*29*2*38*16*6*14th and 15th grade*simple
59.3*8.0*0.0*8.13*9.85*8.5*12.13*7.5*6.11*15.0*0.9*19*6*1*12*3*5*7th and 8th grade*simple
91.11*4.0*0.0*5.6*7.42*9.4*7.71*12.0*3.43*18.0*1.04*17*11*0*14*4*1*7th and 8th grade*simple
86.71*3.7*0.0*4.0*7.92*5.7*8.87*4.5*3.97*13.0*0.69*13*7*0*10*3*2*3rd and 4th grade*simple
75.2*6.0*0.0*5.2*10.37*8.6*11.57*6.0*5.32*17.0*0.95*18*8*0*13*4*4*5th and 6th grade*simple
-35.13*19.4*0.0*26.0*13.08*10.3*13.36*5.0*6.7*7.0*0.46*14*2*3*5*2*3*12th and 13th grade*simple
86.2*3.8*0.0*6.1*6.93*5.6*9.42*5.75*3.55*14.5*1.42*27*16*1*21*8*3*5th and 6th grade*simple
81.29*3.7*6.0*4.23*8.65*7.5*11.31*3.875*3.36*9.0*2.22*38*19*1*28*8*5*3rd and 4th grade*simple
68.26*6.6*0.0*8.08*12.28*10.6*10.39*6.5*4.7*15.0*1.88*34*14*2*23*7*6*6th and 7th grade*simple
